"easyC SMD","EasyC connector","1","K22",""
"ESP32-WROVER","ESP32-WROVER","1","U3",""
"GND","HEADER MALE 1x1 - NO_SILK","1","K26",""
"GPB1","HEADER MALE 1x1 - NO_SILK","1","K1",""
"GPB5","HEADER MALE 1x1 - NO_SILK","3","K9, K11, K15",""
"HEADER 1x1","HEADER MALE 1x1 - NO_SILK","17","K2, K3, K4, K5, K6, K7, K8, K10, K12, K13, K14, K16, K17, K18, K19, K27, K28",""
"HEADER 8x1","HEADER MALE 8x1 - NO_SILK","2","K20, K23",""
"HYC77-TF09-200","HYC77-TF09-200","1","K29","MicroSD Inkplate"
"Inkplate_TP","Inkplate test header","1","K36",""
"JST 2pin","JST 2PIN SMD","1","K30",""
"K2-1114SA-A4SW-06","K2-1114SA-A4SW-06","2","S2, S4","Inkplate"
"KILL","HEADER MALE 1x1 - NO_SILK","1","K32",""
"left connection","SMD_JUMPER 2/3 pads left connection","1","JP3",""
"LQH44PN4R7MP0L","LQH44PN4R7MP0_Inductor","1","L1","Inductor Power Chip Shielded Wirewound 4.7uH 20% 1MHz Ferrite 1.7A 96mOhm DCR 1515 Embossed T/R"
"LTST-S270TBKT","0603 Side view LED LTST-S270GKT","1","D12",""
"MC14093BDTR2G","TSSOP-14","1","U8","Inkplate"
"MCP23017T-E/SS","SSOP-28 10.20x5.30mm","2","U2, U4",""
"MCP47A1T-A0E/LT","MCP47A1 SOT-23-6","1","U11","Inkplate 6+"
"MCP73831T-2ACI/OT","SOT-23-5","1","Q3",""
"NMOS","SOT-23-3","2","Q6, Q13",""
"NPN","SOT-23-3","3","Q4, Q7, Q9",""
"NR4012T220M","NR4012T2R2M_Fixed Inductor","1","L3","FIXED IND 2.2UH 1.2A 108 MOHM"
"NR4012T2R2M","NR4012T2R2M_Fixed Inductor","1","L2","FIXED IND 2.2UH 1.2A 108 MOHM"
"NTC-NCP18XH103F03RB","0603R","1","R1",""
"PAD","PAD4x4","9","PAD1, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9",""
"PCF85063ATL/1,118","DFN-10","1","U7",""
"PMOS","SOT-23-3","5","Q5, Q11, Q12, Q14, Q15",""
"Pushbutton SMD","Pushbutton SMD","1","S1",""
"RB510SM-40FHT2R","RB510SM-40FHT2R SOD523-2","1","D11","Inkplate 6+"
"RED","0603LED","1","D7",""
"SCL","HEADER MALE 1x1 - NO_SILK","1","K24",""
"SDA","HEADER MALE 1x1 - NO_SILK","1","K25",""
"SFV34R-3STBE1HLF","SFV34R-3STBE1HLF","1","K34",""
"SFV6R-1STBE1HLF","SFV6R-1STBE1HLF","1","K35","CONN FFC BOTTOM 6POS 0.50MM R/A"
"SFV8R-1STBE1HLF","SFV8R-1STBE1HLF","1","K37","Conn FPC Connector SKT 8 POS 0.5mm Solder RA SMD Embossed T/R"
"SK-3296S-01-L1","SK-3296S-01-L1","1","S3",""
"SN74LVC1G34DBV","SOT-23-5","1","Q2","Inkplate"
"SSM3J358R,LF","SOT-23-3","2","Q8, Q10",""
"TPS3840PL27DBVR","TPS3840PH30DBVR","1","U5",""
"TPS65186RGZR","TPS65186_QFN_48","1","U1","IC PWR MGMT E INK 48VQFN"
"TPS7A2633DRVR","TPS7A2633DRVR","1","U6",""
"TXS0104EPWR","SOP-14","1","U12",""
"U262-161N-4BVC11","U262-161N-4BVC11","1","K31","Inkplate"
